Pose,Real_Class,Docking_score
CHEMBL1828823_size_20_002,Inactive,-6.4
CHEMBL1828823_size_20_003,Inactive,-6.1
CHEMBL1828823_size_20_004,Inactive,-6
CHEMBL1828823_size_20_005,Inactive,-5.7
CHEMBL1828823_size_20_006,Inactive,-5
CHEMBL1828824_size_20_001,Inactive,-7.3
CHEMBL1828824_size_20_002,Inactive,-7.1
CHEMBL1828824_size_20_003,Inactive,-6.4
CHEMBL1828824_size_20_004,Inactive,-4.8
CHEMBL1828825_size_20_001,Inactive,-8.8
CHEMBL1828825_size_20_002,Inactive,-7.1
CHEMBL1828825_size_20_003,Inactive,-6.6
CHEMBL1828827_size_20_001,Inactive,-8.7
CHEMBL1828827_size_20_002,Inactive,-7.8
CHEMBL1828827_size_20_003,Inactive,-7.7
CHEMBL1828827_size_20_004,Inactive,-7
CHEMBL1828828_size_20_001,Inactive,-9.1
CHEMBL1828828_size_20_002,Inactive,-8.3
CHEMBL1828828_size_20_003,Inactive,-8.2
CHEMBL1828828_size_20_004,Inactive,-7.4
CHEMBL1828829_size_20_001,Inactive,-8.3
CHEMBL1828829_size_20_002,Inactive,-7.8
CHEMBL1828829_size_20_003,Inactive,-6.9
CHEMBL1828829_size_20_004,Inactive,-6.9
CHEMBL1828830_size_20_001,Inactive,-8.1
CHEMBL1828830_size_20_002,Inactive,-7.9
CHEMBL1828830_size_20_003,Inactive,-6.9
CHEMBL1828830_size_20_004,Inactive,-5.3
CHEMBL1828831_size_20_001,Inactive,-8.4
CHEMBL1828831_size_20_002,Inactive,-7.5
CHEMBL1828831_size_20_003,Inactive,-7.4
CHEMBL1828831_size_20_004,Inactive,-7.2
CHEMBL1828832_size_20_001,Inactive,-8.8
CHEMBL1828832_size_20_002,Inactive,-7.9
CHEMBL1828832_size_20_003,Inactive,-7.5
CHEMBL1828832_size_20_004,Inactive,-6.2
CHEMBL1828833_size_20_001,Inactive,-8.3
CHEMBL1828833_size_20_002,Inactive,-7.4
CHEMBL1828833_size_20_003,Inactive,-6.8
CHEMBL1828833_size_20_004,Inactive,-6.4
CHEMBL1828833_size_20_005,Inactive,-5.8
CHEMBL1828834_size_20_001,Inactive,-9
CHEMBL1828834_size_20_002,Inactive,-7.4
CHEMBL1829173_size_20_001,Inactive,-10.2
CHEMBL1829173_size_20_002,Inactive,-9.3
CHEMBL1829173_size_20_003,Inactive,-7.7
CHEMBL1833984_size_20_001,Inactive,26.9
CHEMBL1833984_size_20_002,Inactive,28.2
CHEMBL1834951_size_20_001,Inactive,17.9
CHEMBL1834951_size_20_002,Inactive,17.9
CHEMBL1834951_size_20_003,Inactive,19
CHEMBL1834952_size_20_001,Inactive,23.8
CHEMBL1865303_size_20_001,Inactive,-6.4
CHEMBL1865303_size_20_002,Inactive,-6.1
CHEMBL1865303_size_20_003,Inactive,-6
CHEMBL1865303_size_20_004,Inactive,-5.7
CHEMBL1865303_size_20_005,Inactive,-5
CHEMBL1865303_size_20_006,Inactive,-4.9
CHEMBL1865303_size_20_007,Inactive,-4.8
CHEMBL1865303_size_20_008,Inactive,-4.7
CHEMBL1865303_size_20_009,Inactive,-4.7
CHEMBL1865303_size_20_010,Inactive,-4.6
CHEMBL1867438_size_20_001,Inactive,-7.3
CHEMBL1867438_size_20_002,Inactive,-6.9
CHEMBL1867438_size_20_003,Inactive,-5.8
CHEMBL1867438_size_20_004,Inactive,-5
CHEMBL1867780_size_20_001,Inactive,-4.5
CHEMBL1867780_size_20_002,Inactive,-4.4
CHEMBL1867780_size_20_003,Inactive,-4.3
CHEMBL1867780_size_20_004,Inactive,-2.4
CHEMBL1867780_size_20_005,Inactive,-2.3
CHEMBL1870418_size_20_001,Inactive,-7.2
CHEMBL1870418_size_20_002,Inactive,-6.1
CHEMBL1870418_size_20_003,Inactive,-5.1
CHEMBL1871400_size_20_001,Inactive,-7.6
CHEMBL1871400_size_20_002,Inactive,-7.6
CHEMBL1871400_size_20_003,Inactive,-7
CHEMBL1871400_size_20_004,Inactive,-6.2
CHEMBL1872535_size_20_001,Inactive,-8
CHEMBL1872535_size_20_002,Inactive,-5.7
CHEMBL1872535_size_20_003,Inactive,-5.7
CHEMBL1872535_size_20_004,Inactive,-5.1
CHEMBL1873151_size_20_001,Inactive,-7.9
CHEMBL1873151_size_20_002,Inactive,-6.3
CHEMBL187612_size_20_001,Inactive,-4.2
CHEMBL187612_size_20_002,Inactive,-4.2
CHEMBL187612_size_20_003,Inactive,-2.5
CHEMBL187612_size_20_004,Inactive,-2.2
CHEMBL187734_size_20_001,Inactive,-6.1
CHEMBL187734_size_20_002,Inactive,-5.1
CHEMBL187734_size_20_003,Inactive,-4.7
CHEMBL187734_size_20_004,Inactive,-4.4
CHEMBL187734_size_20_005,Inactive,-3.9
CHEMBL187734_size_20_006,Inactive,-3.1
CHEMBL1878318_size_20_001,Inactive,-14.8
CHEMBL1878318_size_20_002,Inactive,-12.2
CHEMBL1881631_size_20_001,Inactive,-15.5
CHEMBL1881631_size_20_002,Inactive,-13.6
CHEMBL1883167_size_20_001,Inactive,-9
CHEMBL1883167_size_20_002,Inactive,-8.9
CHEMBL1883167_size_20_003,Inactive,-7.9
CHEMBL1883630_size_20_001,Inactive,-8.3
CHEMBL1883630_size_20_002,Inactive,-8.2
CHEMBL1883630_size_20_003,Inactive,-7.3
CHEMBL1883630_size_20_004,Inactive,-7.3
CHEMBL1883630_size_20_005,Inactive,-6.5
CHEMBL1884140_size_20_001,Inactive,-5.7
CHEMBL1884140_size_20_002,Inactive,-5.2
CHEMBL1884140_size_20_003,Inactive,-5.2
CHEMBL1884140_size_20_004,Inactive,-4.4
CHEMBL1886723_size_20_001,Inactive,-5.6
CHEMBL1886723_size_20_002,Inactive,-5
CHEMBL1886723_size_20_003,Inactive,-4.9
CHEMBL1886723_size_20_004,Inactive,-4.9
CHEMBL1886723_size_20_005,Inactive,-4.6
CHEMBL1886723_size_20_006,Inactive,-4.5
CHEMBL1888000_size_20_001,Inactive,-7.2
CHEMBL1888000_size_20_002,Inactive,-6.7
CHEMBL1888000_size_20_003,Inactive,-6.5
CHEMBL1888000_size_20_004,Inactive,-6.3
CHEMBL1888000_size_20_005,Inactive,-5.5
CHEMBL1888196_size_20_001,Inactive,16.4
CHEMBL1890694_size_20_001,Inactive,-7.1
CHEMBL1890694_size_20_002,Inactive,-6.4
CHEMBL1890694_size_20_003,Inactive,-5.9
CHEMBL1890694_size_20_004,Inactive,-5.8
CHEMBL1890694_size_20_005,Inactive,-5.8
CHEMBL1890694_size_20_006,Inactive,-5.1
CHEMBL189547_size_20_001,Inactive,-8.4
CHEMBL189547_size_20_002,Inactive,-8.2
CHEMBL189547_size_20_003,Inactive,-7.7
CHEMBL189547_size_20_004,Inactive,-6.9
CHEMBL189547_size_20_005,Inactive,-6.3
CHEMBL189547_size_20_006,Inactive,-5.8
CHEMBL1897070_size_20_001,Inactive,-8.1
CHEMBL1897070_size_20_002,Inactive,-7.3
CHEMBL1897070_size_20_003,Inactive,-6.5
CHEMBL1897070_size_20_004,Inactive,-6.5
CHEMBL1897070_size_20_005,Inactive,-5.4
CHEMBL1897070_size_20_006,Inactive,-5.3
CHEMBL189950_size_20_001,Inactive,-7.1
CHEMBL189950_size_20_002,Inactive,-6.1
CHEMBL189950_size_20_003,Inactive,-5.8
CHEMBL189950_size_20_004,Inactive,-5.2
CHEMBL190169_size_20_001,Inactive,-6.8
CHEMBL190169_size_20_002,Inactive,-3.8
CHEMBL1903207_size_20_001,Inactive,-3.6
CHEMBL1903207_size_20_002,Inactive,-2.5
CHEMBL1903207_size_20_003,Inactive,-1.6
CHEMBL1903207_size_20_004,Inactive,-1
CHEMBL1903400_size_20_001,Inactive,-5.6
CHEMBL1903400_size_20_002,Inactive,-4.3
CHEMBL1903482_size_20_001,Inactive,-6.5
CHEMBL1903482_size_20_002,Inactive,-6.4
CHEMBL1903482_size_20_003,Inactive,-6.2
CHEMBL1903482_size_20_004,Inactive,-5.5
CHEMBL1903482_size_20_005,Inactive,-5.4
CHEMBL1903482_size_20_006,Inactive,-5.2
CHEMBL1903482_size_20_007,Inactive,-4.9
CHEMBL1903482_size_20_008,Inactive,-4.6
CHEMBL190352_size_20_001,Inactive,-7.6
CHEMBL190352_size_20_002,Inactive,-6.8
CHEMBL190352_size_20_003,Inactive,-6
CHEMBL190368_size_20_001,Inactive,-8.5
CHEMBL190368_size_20_002,Inactive,-8.3
CHEMBL190368_size_20_003,Inactive,-7.5
CHEMBL190368_size_20_004,Inactive,-7.4
CHEMBL1903970_size_20_001,Inactive,-6.6
CHEMBL1903970_size_20_002,Inactive,-6.6
CHEMBL1903970_size_20_003,Inactive,-6.6
CHEMBL1903970_size_20_004,Inactive,-6.6
CHEMBL1903970_size_20_005,Inactive,-6
CHEMBL1903970_size_20_006,Inactive,-5.7
CHEMBL1905872_size_20_001,Inactive,-6.4
CHEMBL1905872_size_20_002,Inactive,-6.4
CHEMBL1905872_size_20_003,Inactive,-5.7
CHEMBL1905872_size_20_004,Inactive,-3.5
CHEMBL190905_size_20_001,Inactive,-7.9
CHEMBL190905_size_20_002,Inactive,-6.7
CHEMBL190905_size_20_003,Inactive,-6.5
CHEMBL190905_size_20_004,Inactive,-6.4
CHEMBL190905_size_20_005,Inactive,-5.4
CHEMBL192774_size_20_001,Inactive,-8.4
CHEMBL192774_size_20_002,Inactive,-6.5
CHEMBL1933821_size_20_001,Inactive,-7.6
CHEMBL1933821_size_20_002,Inactive,-7.5
CHEMBL1933821_size_20_003,Inactive,-6.5
CHEMBL1933821_size_20_004,Inactive,-5.1
CHEMBL1933821_size_20_005,Inactive,-5
CHEMBL1933822_size_20_001,Inactive,-6.2
CHEMBL1933822_size_20_002,Inactive,-6
CHEMBL1933824_size_20_001,Inactive,-6.5
CHEMBL1933824_size_20_002,Inactive,-5.5
CHEMBL1933824_size_20_003,Inactive,-4.5
CHEMBL1933824_size_20_004,Inactive,-4.3
CHEMBL1933824_size_20_005,Inactive,-3.8
CHEMBL1933825_size_20_001,Inactive,-7.4
CHEMBL1933825_size_20_002,Inactive,-7.2
CHEMBL1933825_size_20_003,Inactive,-5.9
CHEMBL1933825_size_20_004,Inactive,-5.8
CHEMBL1933825_size_20_005,Inactive,-5.7
CHEMBL1933826_size_20_001,Inactive,-7.3
CHEMBL1933826_size_20_002,Inactive,-7.2
CHEMBL1933826_size_20_003,Inactive,-7
CHEMBL1933826_size_20_004,Inactive,-5.9
CHEMBL1933826_size_20_005,Inactive,-5.5
CHEMBL1933826_size_20_006,Inactive,-4.7
CHEMBL1933827_size_20_001,Inactive,-7.3
CHEMBL1933827_size_20_002,Inactive,-7.1
CHEMBL1933827_size_20_003,Inactive,-6.4
CHEMBL1933827_size_20_004,Inactive,-6.4
CHEMBL1933827_size_20_005,Inactive,-5.9
CHEMBL1933829_size_20_001,Inactive,-7.3
CHEMBL1933829_size_20_002,Inactive,-5.4
CHEMBL1933830_size_20_001,Inactive,-7.3
CHEMBL1933830_size_20_002,Inactive,-6.2
CHEMBL1933830_size_20_003,Inactive,-5.2
CHEMBL1933830_size_20_004,Inactive,-4.7
CHEMBL1933830_size_20_005,Inactive,-4.3
CHEMBL1933831_size_20_001,Inactive,-7.9
CHEMBL1933831_size_20_002,Inactive,-7.8
CHEMBL1933831_size_20_003,Inactive,-7.6
CHEMBL1933831_size_20_004,Inactive,-7.2
CHEMBL1933831_size_20_005,Inactive,-6.7
CHEMBL1933831_size_20_006,Inactive,-6.6
CHEMBL1933831_size_20_007,Inactive,-6.4
CHEMBL1933832_size_20_001,Inactive,-7.2
CHEMBL1933832_size_20_002,Inactive,-7
CHEMBL1933832_size_20_003,Inactive,-6
CHEMBL1933833_size_20_001,Inactive,-6.1
CHEMBL1933833_size_20_002,Inactive,-4
CHEMBL1933834_size_20_001,Inactive,-8.4
CHEMBL1933834_size_20_002,Inactive,-8
CHEMBL1933834_size_20_003,Inactive,-7.7
CHEMBL1933835_size_20_001,Inactive,-6.8
CHEMBL1933835_size_20_002,Inactive,-5.9
CHEMBL1933835_size_20_003,Inactive,-5.8
CHEMBL1933835_size_20_004,Inactive,-5.2
CHEMBL1933836_size_20_001,Inactive,-5.9
CHEMBL1933840_size_20_001,Inactive,-7.9
CHEMBL1933840_size_20_002,Inactive,-7.9
CHEMBL1933840_size_20_003,Inactive,-5.5
CHEMBL1933840_size_20_004,Inactive,-5.3
CHEMBL1933841_size_20_001,Inactive,-5.4
CHEMBL1933841_size_20_002,Inactive,-5.4
CHEMBL1933841_size_20_003,Inactive,-4.7
CHEMBL1933841_size_20_004,Inactive,-3.6
CHEMBL1933842_size_20_001,Inactive,-7.5
CHEMBL1933842_size_20_002,Inactive,-7.3
CHEMBL1933842_size_20_003,Inactive,-5.1
CHEMBL1933843_size_20_001,Inactive,-7.6
CHEMBL1933843_size_20_002,Inactive,-4.8
CHEMBL1933844_size_20_001,Inactive,-7.3
CHEMBL1933844_size_20_002,Inactive,-7.1
CHEMBL1933844_size_20_003,Inactive,-4.9
CHEMBL1933844_size_20_004,Inactive,-4.7
CHEMBL1933844_size_20_005,Inactive,-4.6
CHEMBL1933845_size_20_001,Inactive,-7
CHEMBL1933845_size_20_002,Inactive,-6.9
CHEMBL1933845_size_20_003,Inactive,-6.8
CHEMBL1933845_size_20_004,Inactive,-6.4
CHEMBL1933845_size_20_005,Inactive,-4.2
CHEMBL1934309_size_20_001,Inactive,-9.4
CHEMBL1934309_size_20_002,Inactive,-9.1
CHEMBL1934309_size_20_003,Inactive,-8.7
CHEMBL1934309_size_20_004,Inactive,-7.8
CHEMBL1934309_size_20_005,Inactive,-7.5
CHEMBL1934311_size_20_001,Inactive,-9.6
CHEMBL1934311_size_20_002,Inactive,-8.7
CHEMBL1934315_size_20_001,Inactive,-9.5
CHEMBL1934315_size_20_002,Inactive,-8.4
CHEMBL1934315_size_20_003,Inactive,-8
CHEMBL1934315_size_20_004,Inactive,-8
CHEMBL1934315_size_20_005,Inactive,-8
CHEMBL1934315_size_20_006,Inactive,-6.9
CHEMBL1934316_size_20_001,Inactive,-10.1
CHEMBL1934316_size_20_002,Inactive,-7.8
CHEMBL1934469_size_20_001,Inactive,-9.4
CHEMBL1934469_size_20_002,Inactive,-7.7
CHEMBL1934470_size_20_001,Inactive,-9.7
CHEMBL1934470_size_20_002,Inactive,-8.2
CHEMBL1934474_size_20_001,Inactive,-8.7
CHEMBL1934474_size_20_002,Inactive,-7.7
CHEMBL1934474_size_20_003,Inactive,-7.3
CHEMBL1934475_size_20_001,Inactive,-9.3
CHEMBL1934475_size_20_002,Inactive,-7.3
CHEMBL1934475_size_20_003,Inactive,-7.3
CHEMBL1934477_size_20_001,Inactive,-9.5
CHEMBL1934477_size_20_002,Inactive,-9.4
CHEMBL1934477_size_20_003,Inactive,-9.3
CHEMBL1934477_size_20_004,Inactive,-8.3
CHEMBL1934477_size_20_005,Inactive,-7.9
CHEMBL1934477_size_20_006,Inactive,-6.9
CHEMBL1934478_size_20_001,Inactive,-9.5
CHEMBL1934478_size_20_002,Inactive,-8.6
CHEMBL1934478_size_20_003,Inactive,-7.2
CHEMBL1934479_size_20_001,Inactive,-10.4
CHEMBL1934479_size_20_002,Inactive,-8
CHEMBL193459_size_20_001,Inactive,-9.7
CHEMBL193459_size_20_002,Inactive,-8.2
CHEMBL194399_size_20_001,Inactive,-3.9
CHEMBL194399_size_20_002,Inactive,-3.5
CHEMBL194411_size_20_001,Inactive,-7.4
CHEMBL194411_size_20_002,Inactive,-6.3
CHEMBL194411_size_20_003,Inactive,-6
CHEMBL194411_size_20_004,Inactive,-5.9
CHEMBL194411_size_20_005,Inactive,-5.5
CHEMBL1946566_size_20_001,Inactive,-2.5
CHEMBL1946567_size_20_001,Inactive,-7.2
CHEMBL1946567_size_20_002,Inactive,-6.1
CHEMBL1946568_size_20_001,Inactive,-6.9
CHEMBL1946569_size_20_001,Inactive,-6
CHEMBL1946570_size_20_001,Inactive,-9
CHEMBL1946571_size_20_001,Inactive,-3.2
CHEMBL1946571_size_20_002,Inactive,-0.8
CHEMBL1946572_size_20_001,Inactive,-5.4
CHEMBL1946572_size_20_002,Inactive,-5
CHEMBL1946572_size_20_003,Inactive,-4.5
CHEMBL1946572_size_20_004,Inactive,-4.4
CHEMBL1946572_size_20_005,Inactive,-2.5
CHEMBL1946753_size_20_001,Inactive,-6.8
CHEMBL1946753_size_20_002,Inactive,-5.7
CHEMBL1946753_size_20_003,Inactive,-4.4
CHEMBL1946754_size_20_001,Inactive,-3.4
CHEMBL1946755_size_20_001,Inactive,-7
CHEMBL1946755_size_20_002,Inactive,-6.5
CHEMBL1946756_size_20_001,Inactive,-6
CHEMBL1946756_size_20_002,Inactive,-3.2
CHEMBL1946757_size_20_001,Inactive,-7.8
CHEMBL1946758_size_20_001,Inactive,-5.6
CHEMBL1946758_size_20_002,Inactive,-5.3
CHEMBL1946952_size_20_001,Inactive,-6.6
CHEMBL1946953_size_20_001,Inactive,-8.1
CHEMBL1946953_size_20_002,Inactive,-7.9
CHEMBL1946953_size_20_003,Inactive,-7.5
CHEMBL1946954_size_20_001,Inactive,-6.5
CHEMBL1946954_size_20_002,Inactive,-6.3
CHEMBL1946955_size_20_001,Inactive,-9
CHEMBL1946955_size_20_002,Inactive,-8.1
CHEMBL1947138_size_20_001,Inactive,-9.5
CHEMBL1947138_size_20_002,Inactive,-8
CHEMBL1947138_size_20_003,Inactive,-6.8
CHEMBL1947139_size_20_001,Inactive,-6
CHEMBL1947139_size_20_002,Inactive,-5.5
CHEMBL1947139_size_20_003,Inactive,-4.1
CHEMBL1947140_size_20_001,Inactive,-5.3
CHEMBL1947140_size_20_002,Inactive,-5.1
CHEMBL1947140_size_20_003,Inactive,-5.1
CHEMBL1947141_size_20_001,Inactive,0.1
CHEMBL1947142_size_20_001,Inactive,0.7
CHEMBL1947142_size_20_002,Inactive,2
CHEMBL1947142_size_20_003,Inactive,2.6
CHEMBL1947143_size_20_001,Inactive,-5.3
CHEMBL1947143_size_20_002,Inactive,-2.5
CHEMBL1947144_size_20_001,Inactive,-9.8
CHEMBL1947144_size_20_002,Inactive,-8.6
CHEMBL1947145_size_20_001,Inactive,-9.3
CHEMBL1947145_size_20_002,Inactive,-7.1
CHEMBL1947146_size_20_001,Inactive,-7.9
CHEMBL1947146_size_20_002,Inactive,-6.4
CHEMBL1947146_size_20_003,Inactive,-5.6
CHEMBL1947147_size_20_001,Inactive,-10
CHEMBL1947147_size_20_002,Inactive,-8.6
CHEMBL1947147_size_20_003,Inactive,-7.4
CHEMBL1947147_size_20_004,Inactive,-7.4
CHEMBL194740_size_20_001,Inactive,-8.3
CHEMBL194740_size_20_002,Inactive,-7.9
CHEMBL1956349_size_20_001,Inactive,-8
CHEMBL1956349_size_20_002,Inactive,-7.9
CHEMBL1956349_size_20_003,Inactive,-7.8
CHEMBL1956349_size_20_004,Inactive,-7
CHEMBL1956349_size_20_005,Inactive,-6.1
CHEMBL1956350_size_20_001,Inactive,-7.8
CHEMBL1956350_size_20_002,Inactive,-7.7
CHEMBL1956350_size_20_003,Inactive,-7.1
CHEMBL1956350_size_20_004,Inactive,-6.3
CHEMBL1956350_size_20_005,Inactive,-5.9
CHEMBL1956357_size_20_001,Inactive,-8.6
CHEMBL1956357_size_20_002,Inactive,-7.4
CHEMBL1956357_size_20_003,Inactive,-7.1
CHEMBL1956357_size_20_004,Inactive,-6.1
CHEMBL1956358_size_20_001,Inactive,-8
CHEMBL1956358_size_20_002,Inactive,-7.5
CHEMBL1956358_size_20_003,Inactive,-6.8
CHEMBL1956358_size_20_004,Inactive,-6.3
CHEMBL1956358_size_20_005,Inactive,-6
CHEMBL1956358_size_20_006,Inactive,-5.9
CHEMBL1956359_size_20_001,Inactive,-6.7
CHEMBL1956359_size_20_002,Inactive,-6.5
CHEMBL1956359_size_20_003,Inactive,-6.1
CHEMBL1956359_size_20_004,Inactive,-5.9
CHEMBL1956359_size_20_005,Inactive,-5.7
CHEMBL1956359_size_20_006,Inactive,-4.5
CHEMBL1956360_size_20_001,Inactive,-8.2
CHEMBL1956360_size_20_002,Inactive,-7.7
CHEMBL1956360_size_20_003,Inactive,-7.6
CHEMBL1956360_size_20_004,Inactive,-6.6
CHEMBL1956360_size_20_005,Inactive,-6
CHEMBL1956360_size_20_006,Inactive,-5.9
CHEMBL1956361_size_20_001,Inactive,-8.3
CHEMBL1956361_size_20_002,Inactive,-8.2
CHEMBL1956361_size_20_003,Inactive,-7.7
CHEMBL1956361_size_20_004,Inactive,-7.2
CHEMBL1956361_size_20_005,Inactive,-6.7
CHEMBL1956362_size_20_001,Inactive,-8.6
CHEMBL1956362_size_20_002,Inactive,-7.7
CHEMBL1956362_size_20_003,Inactive,-6.9
CHEMBL1956363_size_20_001,Inactive,-7.6
CHEMBL1956363_size_20_002,Inactive,-7
CHEMBL1956363_size_20_003,Inactive,-7
CHEMBL1956363_size_20_004,Inactive,-6.2
CHEMBL1956365_size_20_001,Inactive,-8.1
CHEMBL1956365_size_20_002,Inactive,-7
CHEMBL1956365_size_20_003,Inactive,-6.8
CHEMBL1956365_size_20_004,Inactive,-5.9
CHEMBL1956366_size_20_001,Inactive,-8.8
CHEMBL1956366_size_20_002,Inactive,-7.4
CHEMBL1956366_size_20_003,Inactive,-6.7
CHEMBL1956366_size_20_004,Inactive,-6.5
CHEMBL1956366_size_20_005,Inactive,-5.9
CHEMBL1956367_size_20_001,Inactive,-7.9
CHEMBL1956367_size_20_002,Inactive,-6
CHEMBL1956367_size_20_003,Inactive,-5.7
CHEMBL1956367_size_20_004,Inactive,-5.6
CHEMBL1956368_size_20_001,Inactive,-8.1
CHEMBL1956368_size_20_002,Inactive,-7.8
CHEMBL1956368_size_20_003,Inactive,-7.3
CHEMBL1956368_size_20_004,Inactive,-6.9
CHEMBL1956368_size_20_005,Inactive,-6.4
CHEMBL1956368_size_20_006,Inactive,-6.2
CHEMBL1956369_size_20_001,Inactive,-8.5
CHEMBL1956369_size_20_002,Inactive,-8.3
CHEMBL1956369_size_20_003,Inactive,-8
CHEMBL1956369_size_20_004,Inactive,-7.8
CHEMBL1956369_size_20_005,Inactive,-7.6
CHEMBL1956369_size_20_006,Inactive,-7.4
CHEMBL1956370_size_20_001,Inactive,-7.4
CHEMBL1956370_size_20_002,Inactive,-7.2
CHEMBL1956370_size_20_003,Inactive,-6.8
CHEMBL1956370_size_20_004,Inactive,-6.6
CHEMBL1956370_size_20_005,Inactive,-6.4
CHEMBL1956370_size_20_006,Inactive,-4.8
CHEMBL1956371_size_20_001,Inactive,-7.6
CHEMBL1956371_size_20_002,Inactive,-7
CHEMBL1956371_size_20_003,Inactive,-6.8
CHEMBL1956371_size_20_004,Inactive,-6.5
CHEMBL1956371_size_20_005,Inactive,-6.5
CHEMBL1956371_size_20_006,Inactive,-6.4
CHEMBL1956371_size_20_007,Inactive,-5.4
CHEMBL1956371_size_20_008,Inactive,-4.7
CHEMBL1956877_size_20_001,Inactive,-6.7
CHEMBL1956877_size_20_002,Inactive,-6.1
CHEMBL1956877_size_20_003,Inactive,-6
CHEMBL1956877_size_20_004,Inactive,-4.1
CHEMBL1956878_size_20_001,Inactive,-7
CHEMBL1956878_size_20_002,Inactive,-6.5
CHEMBL1956878_size_20_003,Inactive,-6.3
CHEMBL1956878_size_20_004,Inactive,-6
CHEMBL1956878_size_20_005,Inactive,-5.7
CHEMBL195953_size_20_001,Inactive,-4
CHEMBL195953_size_20_002,Inactive,-3.4
CHEMBL195953_size_20_003,Inactive,-2.7
CHEMBL195953_size_20_004,Inactive,-1.9
CHEMBL196139_size_20_001,Inactive,-6.7
CHEMBL196139_size_20_002,Inactive,-6.6
CHEMBL196139_size_20_003,Inactive,-6.5
CHEMBL196139_size_20_004,Inactive,-5.9
CHEMBL196139_size_20_005,Inactive,-5.6
CHEMBL196139_size_20_006,Inactive,-4.8
CHEMBL1961796_size_20_001,Inactive,-6.8
CHEMBL1961796_size_20_002,Inactive,-5.8
CHEMBL1961796_size_20_003,Inactive,-4.1
CHEMBL1961797_size_20_001,Inactive,-5.6
CHEMBL1961797_size_20_002,Inactive,-5.5
CHEMBL1961797_size_20_003,Inactive,-5.4
CHEMBL196227_size_20_001,Inactive,-6.9
CHEMBL196227_size_20_002,Inactive,-6.7
CHEMBL196227_size_20_003,Inactive,-6.6
CHEMBL196227_size_20_004,Inactive,-4.7
CHEMBL196260_size_20_001,Inactive,-7.1
CHEMBL196260_size_20_002,Inactive,-7
CHEMBL196260_size_20_003,Inactive,-6.6
CHEMBL196260_size_20_004,Inactive,-6.4
CHEMBL196260_size_20_005,Inactive,-6.3
CHEMBL196261_size_20_001,Inactive,-6.9
CHEMBL196261_size_20_002,Inactive,-6.8
CHEMBL196261_size_20_003,Inactive,-6.7
CHEMBL196261_size_20_004,Inactive,-6.3
CHEMBL196261_size_20_005,Inactive,-6.2
CHEMBL196261_size_20_006,Inactive,-6.1
CHEMBL196261_size_20_007,Inactive,-6
CHEMBL196261_size_20_008,Inactive,-5.8
CHEMBL196261_size_20_009,Inactive,-5.5
CHEMBL196261_size_20_010,Inactive,-5.4
CHEMBL196261_size_20_011,Inactive,-4.8
CHEMBL19641_size_20_001,Inactive,-8.6
CHEMBL19641_size_20_002,Inactive,-8.2
CHEMBL19641_size_20_003,Inactive,-8.1
CHEMBL19641_size_20_004,Inactive,-7.6
CHEMBL19641_size_20_005,Inactive,-6
CHEMBL19641_size_20_006,Inactive,-5.9
CHEMBL196428_size_20_001,Inactive,-3.5
CHEMBL196428_size_20_002,Inactive,-3.1
CHEMBL196428_size_20_003,Inactive,-1.8
CHEMBL196428_size_20_004,Inactive,-0.8
CHEMBL196537_size_20_001,Inactive,-3.8
CHEMBL196537_size_20_002,Inactive,-2.9
CHEMBL196590_size_20_001,Inactive,-5.1
CHEMBL196590_size_20_002,Inactive,-4.4
CHEMBL196590_size_20_003,Inactive,-4.1
CHEMBL197268_size_20_001,Inactive,-7.3
CHEMBL197268_size_20_002,Inactive,-7.2
CHEMBL197268_size_20_003,Inactive,-6.7
CHEMBL197268_size_20_004,Inactive,-6.6
CHEMBL197268_size_20_005,Inactive,-5.3
CHEMBL197268_size_20_006,Inactive,-4.7
CHEMBL197268_size_20_007,Inactive,-4.5
CHEMBL197636_size_20_001,Inactive,-8.8
CHEMBL197636_size_20_002,Inactive,-7.5
CHEMBL197636_size_20_003,Inactive,-7
CHEMBL197636_size_20_004,Inactive,-6.8
CHEMBL197636_size_20_005,Inactive,-6.3
CHEMBL197636_size_20_006,Inactive,-6.2
CHEMBL197637_size_20_001,Inactive,-9.4
CHEMBL197637_size_20_002,Inactive,-8.4
CHEMBL197637_size_20_003,Inactive,-8.4
CHEMBL197671_size_20_001,Inactive,-4.4
CHEMBL197671_size_20_002,Inactive,-2.4
CHEMBL197671_size_20_003,Inactive,-1.9
CHEMBL1977129_size_20_001,Inactive,-8.4
CHEMBL1977129_size_20_002,Inactive,-7.8
CHEMBL1977129_size_20_003,Inactive,-7.7
CHEMBL197823_size_20_001,Inactive,-6.4
CHEMBL197848_size_20_001,Inactive,-5.3
CHEMBL197848_size_20_002,Inactive,-4
CHEMBL197848_size_20_003,Inactive,-3.9
CHEMBL197971_size_20_001,Inactive,-10.4
CHEMBL197971_size_20_002,Inactive,-8.2
CHEMBL198034_size_20_001,Inactive,-6.8
CHEMBL198034_size_20_002,Inactive,-6.7
CHEMBL198034_size_20_003,Inactive,-6.5
CHEMBL198034_size_20_004,Inactive,-6.5
CHEMBL198034_size_20_005,Inactive,-6.1
CHEMBL198034_size_20_006,Inactive,-5.2
CHEMBL198034_size_20_007,Inactive,-4.8
CHEMBL198034_size_20_008,Inactive,-4
CHEMBL198091_size_20_001,Inactive,-5.1
